config,seed,accuracy,auc,brier,log_loss,best_round,fold
F2×H4,7,0.7214620093626215,0.7687904496476009,0.18338210880756378,0.5417771831212495,554,2025
F2×H4,8,0.7203817068779258,0.7692543146290773,0.18334373831748962,0.5415831950867281,594,2025
F2×H4,9,0.7211019085343896,0.7692080763757116,0.183232843875885,0.5414423854708634,562,2025
F2×H4,10,0.7221822110190853,0.7690678791677962,0.18327641487121582,0.5416548653558495,561,2025
F2×H4,11,0.7205617572920417,0.7683779761904762,0.1834329217672348,0.5420314324827333,489,2025
F2×H4,12,0.7220021606049694,0.7689632607075089,0.18338823318481445,0.5416584674597612,571,2025
F2×H4,13,0.7227223622614332,0.7695612519201229,0.18324793875217438,0.5414264396038152,600,2025
F2×H4,14,0.7230824630896651,0.7688659133008042,0.18338559567928314,0.5418265017522177,517,2025
F2×H4,15,0.7202016564638098,0.7684054367714828,0.18351994454860687,0.5420874573365702,569,2025
F2×H4,16,0.7209218581202737,0.7685249503027017,0.1835021823644638,0.5421646401608023,535,2025
F2×H4,17,0.7220021606049694,0.7686183445152255,0.1833641231060028,0.5419876402701944,487,2025
F2×H4,18,0.7216420597767375,0.7688681722689077,0.18336427211761475,0.5416966808607206,585,2025
F2×H4,19,0.7209218581202737,0.7693727692689979,0.18323133885860443,0.5414675925818253,572,2025
F2×H4,20,0.7214620093626215,0.7689216815758562,0.1833799034357071,0.5417201764222356,583,2025
F2×H4,21,0.723262513503781,0.7689297291497244,0.18335607647895813,0.5417328818821396,601,2025
F2×H4,22,0.7220021606049694,0.7690723265112497,0.1832314133644104,0.541479314614959,505,2025
F2×H4,23,0.7203817068779258,0.7685280563838439,0.1835731714963913,0.5422087019497767,589,2025
F2×H4,24,0.7220021606049694,0.7691031049516581,0.18321119248867035,0.5413587250934265,554,2025
F2×H4,25,0.7236226143320129,0.7695062601653564,0.18311738967895508,0.5410512870823855,558,2025
F2×H4,26,0.7211019085343896,0.7688230634995935,0.18340376019477844,0.54186030569202,584,2025
F2×H4,27,0.7207418077061577,0.7689761085885967,0.18322370946407318,0.5414064776969946,527,2025
F2×H4,28,0.7229024126755491,0.7685397747808801,0.18357937037944794,0.5422397601278253,585,2025
F2×H4,29,0.7221822110190853,0.7691671325788381,0.18327423930168152,0.5415257068975471,582,2025
F2×H4,30,0.7214620093626215,0.7690285590042469,0.18329358100891113,0.5415706737108219,506,2025
F2×H4,31,0.7225423118473172,0.7695670405258878,0.1831318587064743,0.5411696440399715,578,2025
F2×H4,32,0.7220021606049694,0.7689715200596368,0.18332359194755554,0.541659067965622,548,2025
F2×H4,33,0.7211019085343896,0.7686857605945604,0.18354588747024536,0.542227297574995,583,2025
F2×H4,34,0.7225423118473172,0.7685305271302069,0.18343470990657806,0.5419965577300867,536,2025
F2×H4,35,0.7227223622614332,0.7690872921749344,0.1831800788640976,0.541324957994704,500,2025
F2×H4,36,0.7207418077061577,0.7686947964669739,0.18351273238658905,0.5419798126866069,585,2025
F2×H4,37,0.7227223622614332,0.7690796681575855,0.18328602612018585,0.5415523569030679,511,2025
F2×H4,38,0.7221822110190853,0.769024605810066,0.18331433832645416,0.541516604408091,574,2025
F2×H4,39,0.7214620093626215,0.769420631155688,0.18330977857112885,0.541516867070019,583,2025
F2×H4,40,0.7223622614332013,0.7686336631426764,0.18348024785518646,0.5420394937177597,549,2025
F2×H4,41,0.7221822110190853,0.7679662792536369,0.18369846045970917,0.5426789096709289,533,2025
F2×H4,42,0.7220021606049694,0.7689533071293033,0.18338705599308014,0.5417489410504458,583,2025
F2×H4,43,0.7223622614332013,0.7687144212523719,0.1835237294435501,0.5419823349764599,604,2025
F2×H4,44,0.7225423118473172,0.7689571191379778,0.18327650427818298,0.5414903307086939,579,2025
F2×H4,45,0.7221822110190853,0.7695770646968465,0.18308278918266296,0.5410626599367746,561,2025
F2×H4,46,0.7227223622614332,0.7687899554983284,0.18334105610847473,0.5416752407075095,517,2025
F2×H4,47,0.7216420597767375,0.7688155100749978,0.18335208296775818,0.5417816128812686,526,2025
F2×H4,48,0.7214620093626215,0.769244996385651,0.18324501812458038,0.5415033821236914,569,2025
F2×H4,49,0.7220021606049694,0.7691295066413663,0.18340463936328888,0.5417862760097044,590,2025
F2×H4,50,0.7239827151602448,0.7689702493900786,0.18323588371276855,0.541625215674588,511,2025
F2×H4,51,0.7223622614332013,0.7692788809072015,0.1832079291343689,0.5413074559192511,548,2025
F2×H4,52,0.7230824630896651,0.768748164588416,0.1832413226366043,0.5415144863873158,483,2025
F2×H4,53,0.719841555635578,0.769155767145568,0.18335528671741486,0.5415938920286187,594,2025
F2×H4,54,0.7221822110190853,0.7692987880636126,0.18320779502391815,0.5414702491768308,511,2025
F2×H4,55,0.7212819589485056,0.7694031947456402,0.1832083761692047,0.5413404440640028,569,2025
F2×H4,56,0.7216420597767375,0.7686042965573326,0.18350434303283691,0.5420430255827225,595,2025
F2×H4,57,0.7221822110190853,0.7685339861751151,0.18335933983325958,0.541996175221194,458,2025
F2×H4,58,0.7225423118473172,0.769029194339026,0.1834222674369812,0.5419369515211616,578,2025
F2×H4,59,0.7203817068779258,0.768913069259962,0.1833655834197998,0.5416305672953001,549,2025
F2×H4,60,0.7218221101908534,0.7692263598987981,0.18330059945583344,0.5416141862298793,581,2025
F2×H4,61,0.7209218581202737,0.7689454007409416,0.18347088992595673,0.54188337538598,596,2025
F2×H4,62,0.7212819589485056,0.7695200963449895,0.18321532011032104,0.5413627976868788,612,2025
F2×H4,63,0.723262513503781,0.7689074218397036,0.18327876925468445,0.5416111520314943,509,2025
F2×H4,64,0.7223622614332013,0.7693319666576308,0.18311314284801483,0.541279606418098,503,2025
F2×H4,65,0.7220021606049694,0.7691486372774916,0.18336378037929535,0.541623524172754,545,2025
F2×H4,66,0.723442563917897,0.768605002484865,0.18322846293449402,0.5417287393092447,451,2025
F2×H4,67,0.7225423118473172,0.7694665870380409,0.18311721086502075,0.5412909937558753,512,2025
F2×H4,68,0.7218221101908534,0.7692729511159302,0.1833343207836151,0.5417621327788984,601,2025
F2×H4,69,0.7229024126755491,0.7688331582633053,0.18328730762004852,0.5416435895868948,485,2025
F2×H4,70,0.7220021606049694,0.769261232718894,0.18326975405216217,0.5414809703459457,576,2025
F2×H4,71,0.7230824630896651,0.7687891789780428,0.18338534235954285,0.5417912141595772,537,2025
F2×H4,72,0.7218221101908534,0.7694922828002169,0.18311798572540283,0.5411786570848126,522,2025
F2×H4,73,0.7214620093626215,0.7684256262989066,0.18360178172588348,0.5421965754336312,580,2025
F2×H4,74,0.719841555635578,0.768653146742568,0.1833413541316986,0.5417964731109237,494,2025
F2×H4,75,0.7209218581202737,0.7684201906569079,0.18356041610240936,0.5422764234404479,594,2025
F2×H4,76,0.7218221101908534,0.7685199382172223,0.18338453769683838,0.5418998513253258,501,2025
F2×H4,77,0.7230824630896651,0.7696029016445288,0.18299445509910583,0.5408817405801882,503,2025
F2×H4,78,0.723442563917897,0.7695838416011567,0.18312495946884155,0.5411179331650011,556,2025
F2×H4,79,0.7205617572920417,0.768748164588416,0.18346256017684937,0.5420396848470487,570,2025
F2×H4,80,0.7216420597767375,0.7692641270217764,0.1831223964691162,0.5412122504445601,525,2025
F2×H4,81,0.7207418077061577,0.7689370707960603,0.18333762884140015,0.5416646822438218,572,2025
