config,seed,accuracy,auc,brier,log_loss
F4×H4,2,0.7182379801235562,0.772689134386799,0.18227383494377136,0.5376187953584132
F4×H4,3,0.7183275136538634,0.77260259541057,0.18231141567230225,0.5378597876370592
F4×H4,4,0.7190437818963201,0.7731407797897852,0.18210995197296143,0.5373928465253153
F4×H4,5,0.7187751813053989,0.7731740867675658,0.18211664259433746,0.5373012827919907
F4×H4,6,0.7193123824872415,0.7728502747286212,0.18231065571308136,0.5376674347040169
F4×H4,7,0.7180589130629421,0.7726211282900559,0.18226519227027893,0.5377650725495683
F4×H4,8,0.719760050138777,0.7729468197195963,0.18216285109519958,0.5374569111698332
F4×H4,9,0.7187751813053989,0.7728765513934324,0.182193785905838,0.5374734337434703
F4×H4,10,0.7190437818963201,0.7728533374392217,0.18224167823791504,0.5375255126734281
F4×H4,11,0.7182379801235562,0.7727548956558861,0.18219341337680817,0.5375218123700409
F4×H4,12,0.7195809830781628,0.7729284086524637,0.18212366104125977,0.5373565200998837
F4×H4,13,0.7178798460023279,0.7726958688697674,0.18219617009162903,0.5375097782738416
F4×H4,14,0.7180589130629421,0.772996780186267,0.18224623799324036,0.5375918211977038
F4×H4,15,0.7172531112901782,0.7726881772897364,0.18237659335136414,0.537828188659393
F4×H4,16,0.7189542483660131,0.7727490138593919,0.18219850957393646,0.5375526783680019
F4×H4,17,0.7172531112901782,0.7727775005483295,0.18212385475635529,0.5373891594237508
F4×H4,18,0.7186856477750918,0.7726452993413293,0.1821907013654709,0.5375462824351855
F4×H4,19,0.7181484465932492,0.7730088744127861,0.18215499818325043,0.5374885394491439
F4×H4,20,0.7180589130629421,0.7728472120180208,0.1822149008512497,0.5374470453263354
F4×H4,21,0.7178798460023279,0.7728769168304925,0.18225151300430298,0.5375826818498027
F4×H4,22,0.7181484465932492,0.7726678346267137,0.1822630912065506,0.5375312876999383
F4×H4,23,0.717074044229564,0.772995161822143,0.18215994536876678,0.537361470657885
F4×H4,24,0.7183275136538634,0.7727660153835777,0.1822458803653717,0.5376683810944412
F4×H4,25,0.7180589130629421,0.7730621238129994,0.18211744725704193,0.5373566886230073
F4×H4,26,0.7182379801235562,0.772918541851836,0.1821874976158142,0.5375174426278438
F4×H4,27,0.7177007789417137,0.773027650916979,0.18217509984970093,0.5373491850453893
F4×H4,28,0.7194914495478557,0.772864178738677,0.18222755193710327,0.5376342355628736
F4×H4,29,0.7201181842600054,0.7728539639027537,0.18219423294067383,0.5375356146117529
F4×H4,30,0.7193123824872415,0.7728039512307887,0.1821380853652954,0.537581415647944
F4×H4,31,0.7182379801235562,0.7729681194796817,0.18210212886333466,0.5372876059074395
F4×H4,32,0.7177007789417137,0.7727598377570823,0.1822413057088852,0.5376801144054498
F4×H4,33,0.7182379801235562,0.7722656972445141,0.18225133419036865,0.5378083491834432
F4×H4,34,0.7187751813053989,0.7729140695982886,0.182129368185997,0.5373297870587631
F4×H4,35,0.7194019160175485,0.7728609768139583,0.18211336433887482,0.5375000374628898
F4×H4,36,0.7184170471841704,0.7728865052028842,0.18223951756954193,0.537653378084735
F4×H4,37,0.7176112454114065,0.7724610842594146,0.1823507696390152,0.5379294558336102
F4×H4,38,0.7196705166084699,0.7731411974321398,0.18208830058574677,0.5372205643609597
F4×H4,39,0.7177903124720207,0.7725539574780221,0.18234172463417053,0.5379347681891777
F4×H4,40,0.7182379801235562,0.7732261702495393,0.1822061836719513,0.5375081916783666
F4×H4,41,0.718864714835706,0.7724705334176878,0.1822763830423355,0.5377514795774506
F4×H4,42,0.7175217118810995,0.7726945115321147,0.18221701681613922,0.5375999080335211
F4×H4,43,0.7177903124720207,0.7730380223687852,0.18214361369609833,0.5373254307801711
F4×H4,44,0.7190437818963201,0.7726390869113043,0.18229417502880096,0.5377335990095736
F4×H4,45,0.7189542483660131,0.7732113091424209,0.1820882260799408,0.5372188337805751
F4×H4,46,0.718864714835706,0.7726905091262163,0.1822538673877716,0.5376294157830144
F4×H4,47,0.7184170471841704,0.7729696160314524,0.18219026923179626,0.5374715581798641
F4×H4,48,0.7185961142447846,0.7726917968568098,0.18227098882198334,0.5376019387492222
F4×H4,49,0.7182379801235562,0.7724587002176404,0.18240037560462952,0.5380555705722684
F4×H4,50,0.7190437818963201,0.7730166878051704,0.18212464451789856,0.5374598645637401
F4×H4,51,0.718864714835706,0.7733640966371507,0.18201863765716553,0.53720550519029
F4×H4,52,0.7182379801235562,0.7725762491386996,0.18235868215560913,0.537862492105931
F4×H4,53,0.7166263765780285,0.7727090594074673,0.1822398453950882,0.5376268616871185
F4×H4,54,0.7202972513206196,0.7730514391294274,0.18205784261226654,0.5374036047166496
F4×H4,55,0.719849583669084,0.7731241611044246,0.18207482993602753,0.5372789393827399
F4×H4,56,0.7186856477750918,0.7728141834684765,0.18224874138832092,0.5376972303609455
F4×H4,57,0.7187751813053989,0.7725849152175579,0.18226490914821625,0.5376527571213213
F4×H4,58,0.718864714835706,0.7731393528450736,0.18205833435058594,0.5372397444568022
F4×H4,59,0.7184170471841704,0.7728604373592503,0.1821785420179367,0.5375751760243166
F4×H4,60,0.7190437818963201,0.7732926275892172,0.18207207322120667,0.5372177788721506
F4×H4,61,0.7191333154266273,0.7728121822655274,0.18229708075523376,0.5376450484997723
F4×H4,62,0.7185065807144776,0.7732227769054079,0.1821311116218567,0.5373568688084448
F4×H4,63,0.7186856477750918,0.7729589661514097,0.18213552236557007,0.5374373572914819
F4×H4,64,0.7187751813053989,0.7732985963945354,0.18220379948616028,0.5374822850105729
F4×H4,65,0.7174321783507924,0.7729754108191227,0.18215136229991913,0.5374069792939997
F4×H4,66,0.7192228489569343,0.7731852761023165,0.18204519152641296,0.5372280692437055
F4×H4,67,0.7187751813053989,0.7725238002196659,0.18229836225509644,0.5378551488034728
F4×H4,68,0.7205658519115409,0.772909545139447,0.18209528923034668,0.537480232168442
F4×H4,69,0.7181484465932492,0.7728546077680504,0.18223804235458374,0.537641967533072
F4×H4,70,0.7192228489569343,0.7728274262114708,0.18214328587055206,0.5374275196140815
F4×H4,71,0.7175217118810995,0.7728029419284315,0.18231290578842163,0.5376556267223832
F4×H4,72,0.718864714835706,0.7728572876398258,0.1822458952665329,0.5376463572046332
F4×H4,73,0.7180589130629421,0.772666651306709,0.1821560561656952,0.5375924302283538
F4×H4,74,0.7181484465932492,0.7728016541978382,0.1821841448545456,0.5374698845721595
F4×H4,75,0.7190437818963201,0.7727121395198323,0.18231473863124847,0.5378456676043794
F4×H4,76,0.7175217118810995,0.7726232861088881,0.1822507083415985,0.53767568875708
F4×H4,77,0.7191333154266273,0.7730080391280769,0.1821029633283615,0.537427700578043
F4×H4,78,0.7196705166084699,0.7733971425884596,0.18201152980327606,0.5370498408966008
F4×H4,79,0.7211030530933835,0.7731367077768279,0.18206878006458282,0.537283705076534
F4×H4,80,0.7185961142447846,0.7729396675942736,0.18204732239246368,0.5372683222306637
F4×H4,81,0.7185065807144776,0.7727734285353722,0.18223713338375092,0.5376348250468811
